BookingID,Week,Day,Time,LearnerID,Grade,CoachName,Status,LessonRating,CoachRating,Review
KFV6721,1,Monday,6-7pm,4528,3,Coach C,Attended,4,7,Excellent
VXQ5260,1,Monday,4-5pm,3531,4,Coach A,Attended,4,6,Excellent !!
XQW6023,1,Monday,4-5pm,4207,3,Coach A,Attended,4,8,Great Teaching !!
DHO3346,1,Monday,4-5pm,4343,3,Coach A,Attended,4,7,Good
ASR9241,4,Wednesday,6-7pm,4343,4,Coach C,Attended,5,8,Excellent Teaching
EZG5965,1,Monday,5-6pm,9736,2,Coach B,Attended,3,5,good
PUO8744,1,Wednesday,5-6pm,9736,2,Coach B,Attended,3,3,great teaching ; learned alot
DWG9881,1,Friday,6-7pm,9736,2,Coach C,Attended,5,10,Got to learn new things; good Teaching skills
EBB5280,1,Saturday,3-4pm,9736,2,Coach D,Attended,4,8,high quality teaching.
GTN8005,2,Monday,5-6pm,9736,2,Coach B,Attended,3,6,good
LUK5303,2,Friday,6-7pm,9736,2,Coach C,Attended,5,9,Excellent
